"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-01","16.33"," 0941","0.00",,"33","19","  240","  230","23.9","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-02","6.71"," 1323","0.00",,"36","27","  260","  250","16.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-03","6.71"," 1221","0.38",,"37","26","  110","  110","16.1","21.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-04","9.84"," 2304","0.07",,"38","21","  300","  290","23.9","33.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-05","13.20"," 0445","0.00",,"21","8","  310","  320","23.0","36.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-06","10.07"," 1848","0.00",,"19","9","  270","  270","21.9","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-07","12.75"," 1346","0.01",,"18","6","  340","  340","23.0","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-08","16.33"," 2036","0.00",,"16","1","  200","  220","25.9","36.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-09","14.09"," 0010","0.00",,"19","6","  230","  220","23.9","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-10","13.65"," 2026","0.00",,"18","2","  220","  220","21.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-11","9.62"," 1912","0.03",,"32","18","  210","  220","18.1","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-12","9.40"," 2107","0.04",,"32","15","  360","  360","18.1","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-13","6.93"," 0959","0.00",,"15","4","   70","   60","14.1","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-14","4.47"," 1807","0.00",,"19","5","  240","  190","10.1","13.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-15","10.51"," 1412","0.00",,"28","9","  230","  230","21.9","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-16","8.05"," 1010","0.00",,"31","19","   30","  310","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-17","13.87"," 2357","0.00",,"45","18","  220","  220","23.0","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-18","10.51"," 0001","0.01",,"45","35","  230","  220","23.0","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-19","5.59"," 0758","0.00",,"35","29","  360","  360","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-20","6.04"," 2346","0.01",,"31","25","  110","  120","12.1","14.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-21","5.59"," 0619","0.07",,"27","24","   80","   70","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-22","4.70"," 1550","0.00",,"30","20","  280","  320","13.0","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-23","9.84"," 1058","0.00",,"33","18","  230","  230","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-24","8.50"," 1032","0.00",,"38","26","  250","  250","15.0","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-25","10.96"," 1811","0.00",,"37","18","   40","   40","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-01-26","8.05"," 0024","0.00",,"28","11","   40","   60","14.1","18.1",,,,
